"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"HNF4A",0.106711700551553,-4.62983292706563,4.51790717084688,6.98706563157688e-06,0.000363327412841998,3.38950773527379,0.106711700551549
"ETS2",0.0956850754787392,-0.744243653494375,4.35326837778049,1.47854317498732e-05,0.000384421225496702,2.68888605037229,0.0956850754787382
"AR",0.0685390811014726,1.44366894778721,4.03974910743008,5.75886837399557e-05,0.000998203851492565,1.42402972798461,0.0685390811014692
"TP53",0.0705416068159607,0.58490783658156,3.94548188737812,8.51786906062427e-05,0.00110732297788115,1.06158410682582,0.0705416068159602
"GATA2",-0.083905443071376,0.0230112731102344,-3.69103430344054,0.000235353641606445,0.00244767787270703,0.124722123100826,-0.083905443071376
"ESR1",0.0824033076561559,-2.18111585253171,3.57029720999864,0.00037346227918221,0.00323667308624582,-0.29858338448801,0.0824033076561577
"CEBPA",0.0905941061851463,-2.12227675803573,3.24589345937714,0.00120953183925738,0.00847514452954611,-1.36788236806484,0.0905941061851423
"MITF",0.0690354708188169,-0.847492891559534,3.22422452022529,0.00130386838916094,0.00847514452954611,-1.43576137892768,0.0690354708188177
"MYC",-0.166894197926427,5.74079043055796,-2.75723453719636,0.00593496662635895,0.0342909182856295,-2.79014918016967,-0.166894197926437
"TFAP2A",0.0643532224234091,-1.46208653115207,2.69275482707499,0.00720442241128385,0.037462996538676,-2.96081103092111,0.0643532224234089
"STAT3",0.0506947284365413,-0.826070955391936,2.4209026778698,0.015658469482447,0.074021855735204,-3.63652763209781,0.0506947284365405
"CEBPB",0.0849054189083125,-1.16686554915528,2.28100097458374,0.0227571050263606,0.098614121780896,-3.95659908140773,0.0849054189083132
"E2F4",-0.14505274000086,4.04559846143959,-2.21949340598481,0.0266759491496961,0.106703796598784,-4.09135396999893,-0.145052740000857
"USF2",0.0485738856944549,2.25982026894666,1.8447290672795,0.0653712976251646,0.242807676893469,-4.83349711614333,0.0485738856944571
"EGR1",0.0336669272435877,-1.62484636539032,1.78589457495374,0.0744179882898149,0.257982359404692,-4.93766831168645,0.0336669272435863
"MYB",0.0461314637567359,-0.770714341587573,1.7445338115736,0.081371976766198,0.264458924490143,-5.00889284483775,0.0461314637567382
"YY1",-0.0221107170003431,-0.952786709224455,-1.64242526578316,0.1008149717942,0.307005727732779,-5.1776235492278,-0.0221107170003422
"SPI1",0.053772296767872,5.72734153776733,1.61663474992028,0.106271213445962,0.307005727732779,-5.21864105430266,0.0537722967678755
"FOXO1",0.0327320353019801,-0.143133320361678,1.57008302709137,0.116710807306699,0.319419051576229,-5.29104253717358,0.0327320353019801
"BACH1",0.029269144043053,1.98106864569516,1.48348123859951,0.138260365980395,0.359476951549026,-5.42013267507718,0.0292691440430572
"FOXP1",-0.0888578758834173,-7.46915850014223,-1.44001000871219,0.150176230557885,0.371864951857619,-5.48218373841549,-0.0888578758834226
"RELA",-0.0514076063252231,-0.96073537980274,-1.29390240703179,0.195996630786443,0.454974747141463,-5.67726658689327,-0.0514076063252212
"FOXO3",-0.029417948085301,3.52611679474959,-1.27886845167551,0.201238830466417,0.454974747141463,-5.6961609703506,-0.0294179480853067
"PPARG",-0.0309261800606697,-0.456655739342776,-1.24918586338816,0.211888192304031,0.4590910833254,-5.73281921193816,-0.0309261800606697
"IRF1",0.0375531160515914,0.929530622726758,1.11256663362912,0.266160851963253,0.553614572083567,-5.89047774046954,0.03755311605159
"WT1",-0.0213730584271166,1.17097667575394,-1.03294820576836,0.301876829929151,0.597828915529621,-5.97396598457058,-0.0213730584271179
"HNF1A",0.0311831490682408,-5.81631471368436,1.01487226626696,0.310411167678842,0.597828915529621,-5.9920593294659,0.0311831490682346
"SP1",0.0318168502922851,-3.0447582509844,0.98297903379138,0.325854516884862,0.605158388500457,-6.02320588662861,0.0318168502922931
"SP3",0.0259431423441145,-3.72395498892137,0.885165799336699,0.376279106940568,0.674707364169294,-6.11253868623796,0.0259431423441141
"RARA",0.0167644959438129,-1.86425626089267,0.791653763111387,0.428749535351986,0.743165861276777,-6.18920977450314,0.0167644959438107
"FOXA1",-0.0169596968462136,-3.46047755710004,-0.669015166733847,0.503639568270237,0.844814759679107,-6.27681519201614,-0.0169596968462167
"JUN",0.017453488050597,-3.93633092687346,0.581175872492515,0.561252339707979,0.891627944483782,-6.33052839709458,0.017453488050601
"SMAD4",0.0115788183892951,-3.37691460746963,0.574377794228647,0.5658408109224,0.891627944483782,-6.33437093474554,0.0115788183892933
"ZNF263",0.071197188858477,1.26876140789424,0.537803097773896,0.590832152555887,0.903625645085475,-6.35426890315235,0.0711971888584786
"STAT1",0.025197831142727,2.81902547165986,0.441565356841245,0.658898818401288,0.939219543130596,-6.40037665306424,0.0251978311427297
"USF1",0.00866049990900875,0.851276711752076,0.421495722233196,0.673483337280544,0.939219543130596,-6.40885064516515,0.00866049990900974
"CREB1",-0.00708476035032035,-3.56750704108215,-0.371370291261636,0.710440085503373,0.939219543130596,-6.42829428606885,-0.00708476035032435
"ETS1",-0.00844490267314058,1.48510251458166,-0.356805614314801,0.721312291209512,0.939219543130596,-6.43348309835127,-0.00844490267314035
"PPARA",0.00769119167254839,-3.29437907165674,0.337540100548229,0.735780327899255,0.939219543130596,-6.44002783919811,0.00769119167255639
"ELK1",0.00689034160679847,0.761301828260016,0.31305702871501,0.754302338967292,0.939219543130596,-6.44782112542093,0.00689034160679902
"NFKB1",0.0132732647572764,-1.18008923393739,0.307905797841446,0.758217863712661,0.939219543130596,-6.44938615814405,0.0132732647572775
"FOS",0.0083557336986404,-1.8526621701358,0.275325545788264,0.783122778311167,0.939219543130596,-6.45868324756335,0.00835573369863796
"NFIC",0.00446093623674737,-1.33168131073471,0.221921870160059,0.824419825970604,0.939219543130596,-6.47167612875338,0.00446093623674426
"FOXM1",-0.00362548574279931,-1.40868047477577,-0.195735165814241,0.844857056236878,0.939219543130596,-6.47702756945705,-0.00362548574280042
"HIF1A",-0.00541918370116456,0.776056145883433,-0.192887468295955,0.847086101287421,0.939219543130596,-6.4775690647439,-0.00541918370116534
