"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"CEBPA",0.127514296461827,-2.09523391752356,6.70426914251399,3.05431704614384e-11,1.58824486399479e-09,14.9781974432089,0.127514296461826
"CEBPB",0.166571971973623,-1.12647214906812,6.48020764547622,1.31380400590395e-10,3.41589041535027e-09,13.5645107730054,0.166571971973624
"STAT3",0.087825833613768,-0.805671705145729,6.13678976372534,1.12788645643512e-09,1.95500319115421e-08,11.4851113103869,0.0878258336137671
"TP53",0.0669227511922971,0.595615744958013,5.45981190544771,5.74216227294232e-08,6.44477844439395e-07,7.69947392767245,0.0669227511922967
"MYB",0.0959845580566774,-0.747014844877009,5.44594199250262,6.19690235037879e-08,6.44477844439395e-07,7.62630457199789,0.0959845580566804
"USF2",0.0920894821548099,2.28190419998962,5.38754524948456,8.52521713796053e-08,7.3885215195658e-07,7.32018514459449,0.0920894821548157
"ESR1",0.0820253594078646,-2.16737655847384,5.28193956643915,1.50601144617158e-07,1.11875136001317e-06,6.77459558465165,0.082025359407865
"USF1",0.0689051525745153,0.871996276347018,5.09702452195157,3.9808699798139e-07,2.58756548687904e-06,5.84416551037129,0.0689051525745167
"NFKB1",0.144030395358258,-1.13604785146801,5.0559621965092,4.91919003746409e-07,2.84219868831258e-06,5.64186563163212,0.14403039535826
"FOXO1",0.0699298607668532,-0.125734040851751,4.94936788781273,8.46047509405021e-07,4.39944704890611e-06,5.12404607071687,0.0699298607668531
"MITF",0.0697791712221472,-0.835643411504746,4.87631206694936,1.21957323957982e-06,5.76525531437735e-06,4.77527774681801,0.0697791712221464
"ELK1",0.0670639499025971,0.781700938255136,4.59521037646284,4.7598996131683e-06,2.06262316570626e-05,3.47993589732788,0.0670639499025975
"RARA",0.0636354464342122,-1.84644977732444,4.57572117308144,5.21722867923633e-06,2.08689147169453e-05,3.39288007960637,0.0636354464342106
"SPI1",0.101246943344686,5.75156571885706,4.53342951952186,6.35886370500889e-06,2.36186366186045e-05,3.20519921343224,0.101246943344696
"SMAD3",0.0627944656804633,-2.69782278235739,4.21245859655551,2.70698696887754e-05,9.38422149210881e-05,1.83587039009362,0.062794465680462
"HNF4A",0.0652915294076015,-4.62512800241907,4.13079737480808,3.85492117402011e-05,0.000125284938155654,1.50306390860864,0.0652915294076015
"ETS2",0.061494520491081,-0.73908176653448,3.99143774890035,6.94869470270122e-05,0.000212548308553214,0.949756738815857,0.06149452049108
"JUN",0.0756595755112506,-3.91478421127659,3.83136084311295,0.000133754260737645,0.000386401197686529,0.337043812297778,0.0756595755112546
"HIF1A",0.0696704510193349,0.79915412099734,3.70740119519069,0.000218548860412825,0.0005981337232351,-0.120597467674419,0.0696704510193352
"CTCF",0.0764544331366763,-1.3049492845079,3.62954200575767,0.000295368854114328,0.000767959020697253,-0.400515416327134,0.0764544331366759
"CREB1",-0.0443399872892112,-3.58061083246603,-3.53508754772012,0.000422505862740418,0.00104620499345246,-0.732286299897482,-0.0443399872892125
"SP1",0.0744950622812186,-3.02576058270191,3.45389062461985,0.000571017991818693,0.00134967888975327,-1.01063623769738,0.074495062281223
"FOS",0.0669171849476353,-1.8325320607623,3.34149903117482,0.000857850299047852,0.00193948763262993,-1.38545134457528,0.066917184947634
"STAT1",0.12498243641932,2.85516926689604,3.2803131200195,0.00106545913118749,0.00223577179884656,-1.58438126921478,0.124982436419326
