"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"MYC",-0.161817657529319,5.66102772783071,-5.54266783741579,3.30086063023485e-08,1.71644752772212e-06,8.31123031429002,-0.161817657529345
"AR",0.0372818298451492,1.45748615873385,4.48419309914444,7.6595055722625e-06,0.000199147144878825,3.12810908291372,0.0372818298451498
"TP53",0.0379519576086618,0.598856632254205,4.34366796418955,1.45882100868398e-05,0.00025286230817189,2.52078630856064,0.0379519576086613
"TFAP2A",0.0475279233753789,-1.44098303649215,4.11604173998633,3.98300261936819e-05,0.000499958871412005,1.57743664863081,0.0475279233753796
"ETS2",0.0446575974645997,-0.729751819761515,4.07215130174819,4.80729684050005e-05,0.000499958871412005,1.40129639867834,0.0446575974645997
"E2F4",-0.122746722372438,3.98789129521402,-3.89557620457962,0.000100613603374688,0.000871984562580633,0.711495712991495,-0.122746722372427
"SPI1",0.059777106872331,5.75800089858684,3.68507897450543,0.000233635440683509,0.00173167526870772,-0.071362947718387,0.0597771068723523
"ESR1",0.0407909995350906,-2.16712148886436,3.65131885446789,0.000266411579801188,0.00173167526870772,-0.192920862972341,0.0407909995350972
"STAT3",0.0366148910689632,-0.809982503396937,3.5460629922372,0.000398434545897978,0.00230206626518832,-0.564805185895321,0.0366148910689621
"USF2",0.0355344081675053,2.27552865715583,2.73087461116377,0.0063623194460575,0.033084061119499,-3.07971868181377,0.0355344081675057
"WT1",-0.0276434234022347,1.15626908829661,-2.63299577304087,0.00851722065222314,0.0402632249014185,-3.33805999104666,-0.027643423402236
"HNF4A",0.028843006274613,-4.6272792258094,2.49948488289928,0.0125029590564504,0.0487876113199632,-3.67533192071459,0.0288430062746112
"CEBPA",0.0349939457820789,-2.11328721670234,2.48515433752607,0.0130164126135422,0.0487876113199632,-3.71049614555156,0.0349939457820736
"YY1",-0.0160995961930982,-0.959888061178829,-2.48191238399427,0.0131351261246055,0.0487876113199632,-3.718423336041,-0.0160995961930979
"PRDM14",0.129960330086483,-3.60613159789405,2.40151289092703,0.0164021930088335,0.0568609357639561,-3.91172132450298,0.129960330086474
"PPARG",-0.0279792455178458,-0.470133616870928,-2.3726008431239,0.0177408586988763,0.0576577907713481,-3.97968378336737,-0.027979245517845
