"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"HNF4A",0.131573188425336,-4.62507249240041,5.91519086134654,4.52892393733915e-09,2.35504044741636e-07,10.2225472783986,0.131573188425336
"MITF",0.111118091241155,-0.840277018955349,5.45722555271093,6.08043770478404e-08,1.58091380324385e-06,7.73052024426723,0.111118091241154
"ZNF263",0.653736820116108,1.3619753890179,5.24597924201452,1.89257281921952e-07,3.28045955331383e-06,6.64473398014587,0.653736820116111
"E2F1",0.102269695653812,-0.152940489187998,4.7159220431998,2.74284475393515e-06,3.56569818011569e-05,4.09964655958867,0.102269695653812
"FOXO1",0.0825149022866101,-0.134966337744651,4.13513851623698,3.84108971926113e-05,0.000399473330803158,1.60928984599179,0.08251490228661
"PRDM14",-0.420056754954722,-3.75733124084948,-4.0484548573884,5.54852374735836e-05,0.000444690710417456,1.26463833465806,-0.42005675495473
"CEBPB",0.145628684094995,-1.15656437201914,4.00165433891003,6.74812338830069e-05,0.000444690710417456,1.08149825382642,0.145628684094996
"RARA",0.080650742545453,-1.8539660425808,3.9983541719799,6.84139554488393e-05,0.000444690710417456,1.06866184657248,0.0806507425454497
"PPARA",0.0827545759228423,-3.28237913538265,3.78836134065605,0.000160574290321715,0.000927762566303245,0.27299490037883,0.082754575922849
"HIF1A",0.100594541739565,0.792881075144443,3.75931609254174,0.000180118864050139,0.00093661809306072,0.166222807273721,0.100594541739564
"HNF1A",0.101110034444149,-5.80495468805978,3.46509967938961,0.000552238123390964,0.00261058021966638,-0.87021075196564,0.101110034444145
"GATA3",0.0788531310798687,0.144055055812845,3.28375715827932,0.0010593774230223,0.00459063549976329,-1.46796154885258,0.0788531310798686
"FOXM1",0.0570239077176107,-1.39905906390082,3.18700334209629,0.00148153559072041,0.00552758684982196,-1.77402471193395,0.0570239077176085
"AR",0.0524351091530071,1.44162411698318,3.18569251307768,0.00148819645956745,0.00552758684982196,-1.77810972280801,0.0524351091530046
"FOXO3",0.0684900940724216,3.54147109972731,3.15478764685735,0.00165346927504506,0.00573202682015621,-1.87394312718806,0.0684900940724193
"ESR1",0.0670060555376346,-2.18294363748763,3.04212270981735,0.00240964734263106,0.00783135386355095,-2.21554809320634,0.0670060555376368
"STAT3",0.0598203451209154,-0.824236633373664,2.99684973314423,0.00279431128480913,0.00854730510647498,-2.34938357994644,0.0598203451209149
"STAT1",0.139763222148404,2.8374419152387,2.5839942716042,0.00990533871204539,0.0286154229459089,-3.4787172006925,0.139763222148406
"TP53",0.0431643085375958,0.581084632191486,2.49341177840703,0.012810805802043,0.0350611527213807,-3.70445600893208,0.0431643085375956
"MYB",0.0589511294518416,-0.768326762273779,2.35542455264125,0.0186913645720523,0.048597547887336,-4.03303524290864,0.0589511294518438
"FOXP1",-0.130224962588634,-7.47641010868992,-2.26644082374222,0.0236345751409042,0.0585237098727151,-4.23511594735958,-0.130224962588644
"IRF1",0.0730650177629474,0.935463602187481,2.20700442121142,0.0275373294086908,0.0648533080718944,-4.36580459405586,0.073065017762946
"CEBPA",0.0598075593754928,-2.12649103583395,2.19091479399516,0.0286851170317994,0.0648533080718944,-4.40059096963305,0.0598075593754901
"YY1",-0.0268009767710996,-0.953699724329404,-2.05939299812245,0.0397116659227417,0.086041942832607,-4.67548807849475,-0.0268009767710996
"EGR1",0.0348528070656613,-1.62440366737068,1.95271135228513,0.0511288341884456,0.106347975111967,-4.88607304827835,0.034852807065662
"PPARG",0.0460126819191693,-0.444648820734958,1.93468442392577,0.0533071180152319,0.106614236030464,-4.92055990810181,0.0460126819191698
"E2F4",0.115663643119518,4.08598156584156,1.89374679122384,0.0585432664399711,0.11274999462513,-4.99769744988793,0.115663643119522
"NFKB1",0.0769102982506893,-1.16986500640813,1.87575187599446,0.0609766963347469,0.113242436050244,-5.03108651035869,0.0769102982506893
"SP1",0.0437895015673555,-3.04261343552737,1.41520418292569,0.157315892813104,0.282083669871773,-5.77772484161703,0.0437895015673648
"JUN",0.0374581487700429,-3.93301667113087,1.27858095520074,0.201337430856323,0.343120518543854,-5.95919659114483,0.0374581487700465
"USF2",0.0319384737531516,2.25754024258702,1.26950467317053,0.204552616824221,0.343120518543854,-5.97060245817327,0.0319384737531543
"MYC",0.0703386729866171,5.7772727159466,1.23160173020554,0.218383646377356,0.354873425363203,-6.01735841673644,0.0703386729866127
"SMAD4",-0.0207116537043297,-3.38196435953266,-1.08375979645012,0.278729123129427,0.439209527355461,-6.18622475032726,-0.0207116537043368
"USF1",0.0199799632735103,0.853142883662523,1.0287736498555,0.303831561196354,0.464683564182659,-6.24354167934079,0.0199799632735109
"CREB1",-0.0137692556743279,-3.56862394189939,-0.767643429402393,0.442877894890944,0.655504066599549,-6.47507701904364,-0.0137692556743283
"SMAD3",0.0159247009443773,-2.71536747369171,0.749366104527365,0.453810507645842,0.655504066599549,-6.48876570292596,0.0159247009443764
"FOXA1",0.0164602137007206,-3.45528872330823,0.69501621562424,0.487204482478822,0.682944676959382,-6.52752399459347,0.0164602137007148
"ETS2",-0.0141267491333542,-0.760991720440516,-0.676189010918363,0.499074956239548,0.682944676959382,-6.54027060588582,-0.014126749133355
"CTCF",0.016704839673251,-1.32673755829227,0.541931950951777,0.587984533508958,0.783979378011943,-6.62102665787358,0.0167048396732494
"STAT2",-0.031661705832482,4.65890722103344,-0.502433574440249,0.61547173823008,0.800113259699105,-6.64139819248639,-0.031661705832482
"RELA",0.0172017565212191,-0.95020815231161,0.451403461445922,0.651795383500171,0.826667315658753,-6.66543696027319,0.0172017565212205
"SP3",0.00903276340923709,-3.72644952132646,0.32381274342039,0.746146631095964,0.923800590880718,-6.71428930901164,0.0090327634092362
"NFIC",0.00582313381239374,-1.33143093728811,0.297110709774837,0.766442883930711,0.92686116196272,-6.72247868849886,0.00582313381239041
"POU2F1",-0.00583874098970083,-0.613358570451875,-0.268311249251001,0.78851436107041,0.931880608537758,-6.73052196041204,-0.00583874098970205
"SPI1",-0.00558170079295106,5.71830459763204,-0.178462648841385,0.858395325960905,0.989485244828596,-6.75035033363813,-0.00558170079294396
"TFAP2A",-0.00184245269679084,-1.47213208113738,-0.0783876683458057,0.937535159209523,0.989485244828596,-6.76304753160572,-0.00184245269679217
"BACH1",0.00114810351606054,1.97681569544197,0.0600210190583522,0.952150729547527,0.989485244828596,-6.76430327726506,0.00114810351606365
"WT1",-0.000991861490952317,1.17405786752482,-0.050044088234503,0.960097117730744,0.989485244828596,-6.76484572239563,-0.000991861490952317
"ELK1",0.000605634436765645,0.760353979866883,0.0294447548221095,0.976515677350935,0.989485244828596,-6.76565457451801,0.000605634436767089
"ETS1",0.000605352570832052,1.48647860652124,0.0263700904595358,0.978967342570851,0.989485244828596,-6.76573934753101,0.000605352570832274
"GATA2",-0.000481696618971621,0.0356501204613528,-0.0223235366483072,0.982194269180047,0.989485244828596,-6.76583668223336,-0.000481696618971586
"FOS",0.000381145824502438,-1.85386780600417,0.0131819252669249,0.989485244828596,0.989485244828596,-6.76599701721795,0.000381145824501328
