"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"USF2",0.182688662346383,2.27132475812719,5.82261390743059,7.92019543469762e-09,4.11850162604276e-07,9.69545483990289,0.182688662346336
"SPI1",0.221892204871552,5.74210664825405,5.62489429990574,2.44087787293821e-08,6.34628246963936e-07,8.61553746425744,0.221892204871437
"TP53",0.105978553030179,0.585161627570614,4.83226279272142,1.57319719271394e-06,2.36345084601694e-05,4.6391682028524,0.105978553030164
"STAT3",0.121538812218413,-0.821202606990686,4.80268446858368,1.81803911232073e-06,2.36345084601694e-05,4.50184100947805,0.121538812218428
"EGR1",0.103612382357564,-1.61924873405837,4.61042412747214,4.5671749696808e-06,4.74986196846803e-05,3.62880839163203,0.103612382357596
"USF1",0.110193025768179,0.861343511861737,4.53592495245203,6.46834023314798e-06,5.60589486872825e-05,3.29967564675767,0.110193025768159
"SP1",0.170036528034411,-3.03202085362362,4.3522257326294,1.4935899996336e-05,0.000110952399972782,2.51006048781667,0.170036528034481
"GATA3",-0.127769330644959,0.118315935602465,-4.31486716481576,1.7641271992107e-05,0.000114668267948695,2.35331157966508,-0.127769330644959
"ESR1",0.111496421673573,-2.18208983579877,4.09739728245581,4.53467228005897e-05,0.000262003287292296,1.46668167263451,0.111496421673619
"ETS2",0.106834724709197,-0.747711824678494,4.01921449932576,6.30119510106173e-05,0.000307057596030276,1.15873410587161,0.10683472470921
"CEBPA",0.138870941848231,-2.12166514531957,4.01193215940709,6.4954491467943e-05,0.000307057596030276,1.13034202720362,0.138870941848269
"FOXP1",0.290981235504495,-7.42564385919351,3.95847729685965,8.10520627000194e-05,0.000351225605033417,0.923458021388157,0.290981235504656
"FOXO1",0.088100996389964,-0.138995818524812,3.47588670412206,0.000532199053255375,0.0021287962130215,-0.822354469400821,0.0881009963899654
"HIF1A",0.117835750144262,0.789045894903185,3.38533562947837,0.000740015025176444,0.00274862723636965,-1.12534665830401,0.117835750144243
"YY1",-0.0537480123375568,-0.954986306868656,-3.27197248092252,0.00110646520917219,0.00383574605846358,-1.49366368988686,-0.0537480123375351
"CEBPB",0.14721314494017,-1.16453037133567,3.21673397934539,0.00134040441036794,0.00411976998944071,-1.66869113557682,0.147213144940195
"MYB",0.103213689645743,-0.767046824616822,3.21534260894832,0.00134684788116331,0.00411976998944071,-1.67306217035352,0.103213689645759
"AR",0.0653268573745758,1.44002825001546,3.18623398174559,0.00148838860185554,0.00429978929424935,-1.7640836127027,0.0653268573745425
"ELK1",0.0808389668640074,0.768605593899695,3.12660779368626,0.00182211483093142,0.0047997362621812,-1.94800234430499,0.0808389668639906
"HNF4A",0.0861253636709209,-4.63711071738748,3.1227282350359,0.00184605240853123,0.0047997362621812,-1.95985108098097,0.0861253636710169
"GATA2",0.0720944009267409,0.0431716974188182,2.63221253110479,0.00862064580659256,0.0213463610448959,-3.34151725434347,0.0720944009267385
"SMAD4",0.0626436354829081,-3.37220032869253,2.57375001890075,0.0102108410902074,0.0241347153041266,-3.49073006141148,0.0626436354829756
"SMAD3",0.0694638589886378,-2.71072765255017,2.53046979358551,0.0115514570970602,0.025406465322185,-3.59906468337904,0.0694638589886938
"TFAP2A",0.0722405412476606,-1.4643789288449,2.52516611105963,0.0117260609179315,0.025406465322185,-3.61221568049635,0.0722405412476901
"CREB1",-0.0550937898055079,-3.57212272665359,-2.46307771845521,0.0139513492031606,0.029018806342574,-3.76414475477539,-0.055093789805436
"WT1",-0.0586094026965782,1.16816327013658,-2.39007854838384,0.0170387314619659,0.0330587899315082,-3.93799599862267,-0.0586094026965989
"FOXO3",0.0637307308832402,3.5371562040631,2.38734593270002,0.0171651409259754,0.0330587899315082,-3.94440355656388,0.063730730883163
"BACH1",0.0562758445906935,1.98244445754125,2.34806285531564,0.0190755465357467,0.0354260149949582,-4.03571579015592,0.0562758445906515
"RARA",0.0540525504957328,-1.86121501961385,2.1743472541347,0.0299251918960214,0.0536589647790729,-4.42154805113869,0.0540525504957667
"ETS1",0.0571638833604173,1.49228542010305,2.0158897877247,0.0440925339176076,0.0764270587905198,-4.74789165149733,0.0571638833603854
"CTCF",0.0744547529163355,-1.32170645750134,1.92980993456974,0.0539277751089477,0.0904594937311381,-4.91491637194915,0.0744547529163624
"IRF1",0.0758921344235401,0.93167674450559,1.8459686442721,0.0652076246490924,0.105962390054775,-5.07064593012189,0.0758921344235174
"FOXM1",0.0404832320332049,-1.40395048363549,1.81563252260414,0.0697418190451159,0.109896199707455,-5.12530174187069,0.0404832320332316
"STAT1",0.110318451954954,2.82659906822504,1.6622031205707,0.0968018439055905,0.148049878914432,-5.38794829750972,0.110318451954895
"MITF",0.0395734946470778,-0.853868277006808,1.55501360901815,0.120275783323168,0.178695449508707,-5.55776855797538,0.0395734946470949
"PPARG",0.0428073644538379,-0.447548449302447,1.43620268407937,0.151273778127415,0.218506568406266,-5.73284303577301,0.0428073644538466
"NFKB1",0.0666584778036301,-1.17521714155014,1.32116587987366,0.186764080282612,0.262479247964751,-5.88915984880343,0.0666584778036534
"MYC",-0.0762765801859784,5.75820564969474,-1.08127383349617,0.279849639527698,0.382952138301061,-6.17331071089964,-0.076276580186108
"FOS",0.0341779617159206,-1.850399001061,0.959930563117785,0.337334332222746,0.449779109630328,-6.29548318901521,0.0341779617159574
"E2F4",-0.0664167271625109,4.06072190234965,-0.888776186889378,0.374348289932982,0.486652776912877,-6.36038077861769,-0.0664167271626024
"FOXA1",0.0232700460602526,-3.45550437521458,0.785832780674152,0.432161351062434,0.548107079396258,-6.44544387699585,0.0232700460603206
"JUN",0.0269806126627929,-3.93618972603261,0.756164682030876,0.449737869373433,0.554802276834765,-6.46802019451163,0.0269806126628747
"STAT2",0.0567937662735067,4.66980920953847,0.729013408721651,0.466173086810851,0.554802276834765,-6.48792089606435,0.0567937662734028
