"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"STAT3",0.0965734052242891,-0.805213187201918,6.7610791907716,2.12625045862029e-11,9.97557210299707e-10,15.3256880667924,0.0965734052242876
"CEBPB",0.172260844555351,-1.12882435859409,6.67181335296834,3.83675850115272e-11,9.97557210299707e-10,14.7531961587275,0.172260844555352
"EGR1",0.0832384966330169,-1.60534897575862,6.546714264126,8.67201281783973e-11,1.50314888842555e-09,13.9627887488766,0.0832384966330191
"FOXM1",0.0819622709691052,-1.38390875556393,6.22309232781095,6.70732631675303e-10,8.71952421177893e-09,11.9828549046946,0.0819622709691035
"RARA",0.0874662834868061,-1.84094794914977,6.10690959497746,1.36676298473581e-09,1.42143350412524e-08,11.294978322965,0.0874662834868036
"SMAD3",0.087736852436215,-2.69197209427264,5.85640356055337,6.08862091358758e-09,5.2768047917759e-08,9.85334315716378,0.0877368524362132
"CEBPA",0.10956714523902,-2.10362551816132,5.63272160928513,2.20447685680784e-08,1.63761137934297e-07,8.61430274162906,0.109567145239018
"PRDM14",-0.415985197800007,-3.81344005269373,-5.5973174221978,2.69131909711125e-08,1.74935741312231e-07,8.42237947214896,-0.415985197800011
"CTCF",0.120206372823722,-1.29387058094357,5.5490003338113,3.52730851140803e-08,2.03800047325797e-07,8.16230995297095,0.120206372823722
"NFKB1",0.154317818557159,-1.13649522141626,5.35965425121773,9.97773815689882e-08,5.18842384158738e-07,7.16381543988438,0.154317818557159
"PPARA",0.0780472858561292,-3.27247933721466,4.90190889474193,1.07815109235453e-06,4.75818724098328e-06,4.88685767338761,0.0780472858561412
"ZNF263",0.453150665748442,1.39189133021814,4.89824555426191,1.09804320945768e-06,4.75818724098328e-06,4.86942081613347,0.453150665748444
"E2F1",0.0762763001370458,-0.146668748216745,4.83964473151285,1.46862024503425e-06,5.874480980137e-06,4.59219447069484,0.0762763001370458
"TP53",0.0608447952307061,0.592199033352121,4.79264364347916,1.85021441837881e-06,6.87222498254986e-06,4.37216269990451,0.0608447952307059
"USF1",0.067353538606575,0.86986923102464,4.77338514624379,2.03269806425629e-06,7.04668662275514e-06,4.28260241654127,0.067353538606577
"HIF1A",0.0899903291313223,0.803472222138818,4.63224317626913,4.00857175328386e-06,1.30278581981725e-05,3.63683724623676,0.0899903291313209
"STAT1",0.175065516944259,2.86694393461095,4.55542465078484,5.75695458694239e-06,1.76095081482944e-05,3.29322851233173,0.175065516944267
"MITF",0.0668808685905321,-0.838189607300381,4.52562179859153,6.61535937059659e-06,1.91110381817235e-05,3.16141474715685,0.0668808685905322
"FOXO3",0.0659266672258281,3.55005824326485,4.24895821962695,2.31259418616324e-05,6.32920514107834e-05,1.97775468540726,0.0659266672258254
"PPARG",0.0694444534490213,-0.431446114600311,4.07124131080827,4.98017426024865e-05,0.000129484530766465,1.25563524192257,0.0694444534490211
"USF2",0.0702868504710552,2.2732309807181,3.90851253205925,9.80174426522209e-05,0.000242709857995976,0.62074698791706,0.0702868504710579
"BACH1",0.0528801617355315,1.99226070630158,3.83995813545947,0.000129431091447326,0.000299928022343057,0.360837347935462,0.0528801617355308
"ESR1",0.0616695205256077,-2.175378510629,3.83382936880314,0.000132660471420968,0.000299928022343057,0.337819880687309,0.0616695205256064
"ETS1",0.0622219227776557,1.50477073290694,3.81642804284936,0.000142248916435768,0.000308205985610832,0.272662239521017,0.0622219227776548
"TFAP2A",-0.063050843040608,-1.49047236678003,-3.77648249901178,0.000166788689225793,0.000346920473589649,0.12418434330855,-0.0630508430406078
"SP1",0.0835481822239106,-3.0248889694467,3.75643090261423,0.000180560661182311,0.000361121322364622,0.050227467392058,0.0835481822239177
"FOXO1",0.0524744022527171,-0.132585958890608,3.61976120003851,0.000307062756774706,0.000591380124158693,-0.443604244330457,0.052474402252717
"HNF4A",0.0585913121325632,-4.6286891117251,3.57660605533526,0.000361829839871894,0.000671969702619232,-0.59581907077994,0.0585913121325632
"E2F4",0.15248570086283,4.11264460058973,3.42828398355774,0.000627845125425184,0.00112579125938309,-1.10533813391162,0.152485700862835
"FOXP1",0.144885441431129,-7.41287453528442,3.41411689515921,0.000661086165856166,0.00114588268748402,-1.15289863569599,0.144885441431116
"ELK1",0.0492429585447087,0.77481039068911,3.33413385080353,0.00088158127927809,0.0014334092084337,-1.41778575692425,0.0492429585447091
"JUN",0.0674840603398041,-3.91903237112676,3.33396936380706,0.000882097974420738,0.0014334092084337,-1.41832415409446,0.0674840603398081
"MYB",0.0598201203728544,-0.76002672276121,3.29798520045549,0.00100213899751411,0.00157912811729497,-1.53548025962264,0.0598201203728567
"SP3",-0.0645756732848457,-3.74697058776511,-3.22774579905799,0.00128118767984674,0.00195946351035383,-1.76056561768277,-0.0645756732848426
"IRF1",0.0731489124674632,0.945457305657441,3.09646871336035,0.00200346156137447,0.00297657146261349,-2.16847579556495,0.0731489124674625
"RELA",0.0788143573145919,-0.929652804035832,2.96226755956422,0.00311350229813767,0.00449728109730996,-2.56823918949407,0.0788143573145933
"POU2F1",0.0431682063435785,-0.599672188395623,2.7739630991172,0.00562298090071169,0.00790256775235156,-3.09972646771081,0.0431682063435771
"MYC",0.113013314235196,5.79948127481986,2.67594321307682,0.007552602920954,0.0103351408392002,-3.36275313181033,0.113013314235186
"FOS",0.0539395664654758,-1.83798769347881,2.64178786947877,0.00835336461282044,0.0109159616278906,-3.45220936873423,0.0539395664654743
"NFIC",-0.0366780846879886,-1.34319681202089,-2.64001657894015,0.00839689355991588,0.0109159616278906,-3.45681757758341,-0.0366780846879933
"SMAD4",0.0328797150141038,-3.36895238807034,2.3390992075867,0.019492438009479,0.0247221164998271,-4.19528531803329,0.0328797150140994
"WT1",0.0325883507431008,1.18384649249171,2.27653294993513,0.0229882705511584,0.0284616683014342,-4.33772333992328,0.0325883507430984
"FOXA1",-0.0381475366112487,-3.46918112758545,-2.22397640121763,0.0263341526009545,0.0318459519825497,-4.45441449429991,-0.0381475366112536
"HNF1A",0.0413497968341661,-5.8088202781145,1.91629442810361,0.0555631553745804,0.0656655472608678,-5.08327330259178,0.0413497968341572
"GATA3",0.0282010612923076,0.13984449354554,1.67442298541846,0.0943060750963855,0.107136346398871,-5.51239007044007,0.0282010612923076
"YY1",-0.0159168212376684,-0.954139827588449,-1.67204339989848,0.0947744602759244,0.107136346398871,-5.51632607857146,-0.0159168212376698
"ETS2",0.0200491459346206,-0.752819162963607,1.32677622309674,0.184833196663169,0.204496302691165,-6.02831751161032,0.0200491459346197
"CREB1",-0.0145572684052291,-3.57073548513628,-1.09972589918664,0.27167044494611,0.294309648691619,-6.30093084185501,-0.0145572684052335
"SPI1",0.0242211590509047,5.72635066980761,1.0583594178691,0.290102974988807,0.307864381620775,-6.34511610552669,0.0242211590509172
