"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"CEBPA",0.163980750691618,-2.11241508272399,5.73877505919567,1.26514628264471e-08,4.66994902612419e-07,9.25285444725393,0.163980750691616
"ESR1",0.130516417859247,-2.17482718498307,5.67715532603891,1.79613424081699e-08,4.66994902612419e-07,8.9168032833453,0.130516417859247
"YY1",-0.0724285706124032,-0.959855736994484,-5.34150809140338,1.1424001108121e-07,1.9801601920743e-06,7.14616047698476,-0.0724285706124026
"RARA",0.109902534536792,-1.85098591452442,5.1322365787464,3.44204422489183e-07,4.00242299410122e-06,6.09372036279092,0.109902534536789
"MYC",-0.309834303408662,5.72150872464222,-5.11063761328806,3.84848364817425e-07,4.00242299410122e-06,5.9873648835484,-0.309834303408674
"BACH1",0.0990634492878602,1.9908846253545,4.98626943025144,7.25908995229072e-07,6.2912112919853e-06,5.38324751211832,0.099063449287863
"STAT3",0.0971287004481215,-0.819780262835245,4.5664571334316,5.58112347307975e-06,4.14597743714495e-05,3.44885635716745,0.0971287004481205
"HNF4A",0.10485069027078,-4.63092043692848,4.46526820731374,8.91143227040271e-06,5.79243097576176e-05,3.00694887437794,0.104850690270779
"MITF",0.0895159307727631,-0.845076850728574,4.1644442467323,3.39173882485141e-05,0.000195967132102526,1.74947702590649,0.0895159307727634
"TP53",0.0656188197621813,0.58365771512406,3.64156554476575,0.000284949766789627,0.00148173878730606,-0.234207379600583,0.0656188197621809
"CEBPB",0.128221807944346,-1.16128617484398,3.37853371041166,0.000756988371230097,0.00357849048217864,-1.13430000534717,0.128221807944347
"USF1",0.0682024779487023,0.859776078440193,3.3168751290862,0.000943233573486092,0.0040873454851064,-1.335765256892,0.0682024779487033
"USF2",0.0865585857987541,2.26491171509186,3.28074921763789,0.00107126347407575,0.00428505389630299,-1.45211847350892,0.086558585798759
"NFIC",-0.0563466204314889,-1.34046354888546,-2.87787500685045,0.0040892468984207,0.0142870969685476,-2.66500709420946,-0.0563466204314917
"ETS2",0.0638532433875976,-0.749558152490437,2.87539183687879,0.00412127797169642,0.0142870969685476,-2.6719996453792,0.0638532433875973
"CTCF",0.0867815996176167,-1.31691046961595,2.69807108356234,0.00709226004950035,0.0214832211957619,-3.15597074316025,0.0867815996176167
"JUN",0.0797346528785416,-3.92750504142605,2.68099667781376,0.00746171593725561,0.0214832211957619,-3.20097198328445,0.0797346528785443
"SMAD3",0.0598564208037309,-2.7092898138571,2.67471726918033,0.00760187880408101,0.0214832211957619,-3.21745116132823,0.0598564208037304
