"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B","diff_activity"
"STAT3",0.0835396950407051,-0.817282000552113,4.57161680828663,5.40869714801033e-06,0.000281252251696537,3.62214551304879,0.0835396950407048
"RARA",0.0582460595677612,-1.85531247795607,3.21956672241449,0.00132278217286151,0.0343923364943993,-1.45841599659644,0.0582460595677581
"CEBPA",0.0719006108549491,-2.12182924494938,2.88991451351126,0.00393189951705229,0.0651704049001652,-2.43557667511764,0.0719006108549447
"CREB1",-0.0429887009603767,-3.57490945255394,-2.65426641741279,0.00806698221971,0.0651704049001652,-3.07046261976587,-0.0429887009603807
"MYB",-0.0604291085283972,-0.789620146977034,-2.63219506190858,0.00860665481186954,0.0651704049001652,-3.12720191618699,-0.0604291085283948
"ETS1",0.054089192847935,1.49704705637875,2.62753530751928,0.00872464156375487,0.0651704049001652,-3.1391210777245,0.0540891928479337
"ESR1",0.0511032195004981,-2.18352767963091,2.56783423709198,0.0103695706795665,0.0651704049001652,-3.28998566088716,0.0511032195005003
"NFIC",-0.042103138656187,-1.34065881284494,-2.55978372565794,0.010611336452616,0.0651704049001652,-3.31006738021235,-0.0421031386561905
"USF2",0.0582798680049152,2.26395015234099,2.5383553815866,0.0112794931557978,0.0651704049001652,-3.36321616464237,0.0582798680049206
"USF1",0.044199583826381,0.858679076745241,2.42627726977239,0.0154203920573866,0.0801860386984105,-3.63401035548923,0.0441995838263817
"PPARG",0.0517950692346417,-0.441756596102849,2.38460826782977,0.0172721513084629,0.0816501698218245,-3.73160520745509,0.0517950692346422
"POU2F1",0.0440194931573701,-0.603750364679603,2.28454613693879,0.0225361629817375,0.0976567062541957,-3.95913362561611,0.0440194931573691
"STAT1",0.109261102599649,2.83674984815391,2.24127943082812,0.0252140799270569,0.100711477089389,-4.05452678894314,0.109261102599652
"SMAD4",0.039208853312811,-3.37093852150628,2.20810004895725,0.0274505204450419,0.100711477089389,-4.12645592038584,0.0392088533128057
"HNF4A",0.0440460470822828,-4.63732003976634,2.18575649217575,0.0290513876219393,0.100711477089389,-4.17429539682474,0.0440460470822819
"ETS2",0.0397919437532018,-0.750898513036486,2.06581001777929,0.039088705151975,0.127038291743919,-4.42286688243159,0.0397919437532008
"FOS",0.0505343872551087,-1.84396458723959,1.97262133021008,0.0487979661571875,0.149264367069044,-4.60638346230763,0.0505343872551078
"NFKB1",0.0698498106847045,-1.16832846168179,1.93027714164727,0.0538387082265673,0.155534045987861,-4.68699427423259,0.0698498106847028
"SMAD3",0.0362714552949237,-2.71074931284512,1.86882018074608,0.0619231352565203,0.165425738526645,-4.800900328823,0.0362714552949237
"FOXM1",0.0295149563193737,-1.4023115908509,1.83054938426724,0.0674481329463432,0.165425738526645,-4.86998293125956,0.0295149563193733
"HNF1A",0.0489524651246604,-5.8113884270454,1.81924024168542,0.0691564641144678,0.165425738526645,-4.89012523274105,0.0489524651246578
"FOXP1",0.0965834114671331,-7.43664916798968,1.81381967255812,0.0699878124535806,0.165425738526645,-4.89973563874569,0.0965834114671251
"TFAP2A",-0.0373384947767548,-1.47920098763303,-1.79337151571916,0.0731981748699606,0.165491525792954,-4.93573270413256,-0.0373384947767548
"SPI1",0.0503929529805021,5.72912856451652,1.72730799674622,0.0844033113876441,0.182873841339895,-5.04925883266682,0.0503929529805154
"MYC",-0.0837665986036713,5.74956622807524,-1.63613994864916,0.102106801397095,0.212382146905957,-5.1989676674094,-0.0837665986036722
"BACH1",0.0280293275553041,1.9821595798354,1.58531443365339,0.113192813862036,0.219629882340707,-5.27892382775158,0.0280293275553056
"CEBPB",0.0516250808126446,-1.16955366431828,1.58160121388923,0.114038592753828,0.219629882340707,-5.28466686865085,0.0516250808126455
